#
# Gaussian-cosines vs MI
#
#
# goe	mi
0.667233	0.828537
0.467609	-2.57103
-0.33092	-4.13063
0.734928	0.664786
0.553060	0.393181
-0.32719	-6.05925
-0.00649	-2.13406
-0.16953	-4.83542
-0.19758	-4.33866
-0.28955	-6.92433
-0.35918	-4.04011
-0.36940	-5.34544
-0.35891	-4.59881
-0.33389	-7.43994
0.621530	0.207049
0.166588	-3.10437
-0.12883	-3.90388
-0.16178	-8.09285
-0.16323	-5.66754
-0.09460	-9.55753
-0.01713	-6.14735
-0.11469	-10.3067
-0.07665	-5.14550
-0.08277	-7.10534
-0.10599	-8.57938
-0.44175	-7.39489
-0.05239	-14.7733
-0.06717	-7.93053
-0.12739	-4.91788
-0.18482	-6.08278
-0.06359	-9.35211
0.011172	-3.01768
0.056013	-14.1899
0.076966	-13.1229
-0.07240	-4.89606
-0.10723	-3.04279
-0.13304	-2.90689
0.255015	-2.84451
-0.21618	-1.76282
-0.45212	-9.50737
0.730315	0.779747
-0.07034	0.033124
0.798453	0.715451
-0.37587	-3.53188
0.649555	0.510967
1.000000	1.686851
-0.25134	-3.47655
-0.37886	-3.82481
-0.39839	-3.27687
-0.39479	-4.36092
-0.06918	-1.55576
0.429903	-0.19901
-0.20169	-2.64455
0.243907	0.725071
-0.08400	-1.94675
0.560884	0.503547
0.651763	1.018997
0.192881	0.334318
0.832073	0.974345
0.696226	0.914080
-0.34302	-3.15940
0.092327	-0.62799
0.035067	-1.60742
-0.13628	-1.38001
-0.35180	-2.97286
-0.16069	-2.14993
0.021939	-0.79852
-0.14397	-0.82591
-0.19924	-2.88129
-0.13870	-0.79707
-0.19421	-2.32771
0.666998	0.588941
-0.41278	-4.37161
0.050279	0.028102
-0.09589	-0.31209
0.704506	0.978791
-0.15244	-0.39310
-0.32669	-3.46641
0.726480	0.629374
0.608620	1.654569
0.405435	-0.16837
0.515727	-0.60164
-0.33919	-3.43557
0.120093	-1.05421
0.500376	-0.74678
0.477164	0.521742
-0.11723	-3.19591
0.843657	0.757982
-0.29555	-2.27759
-0.38607	-3.54713
0.368888	-0.32794
0.450651	0.766894
-0.32665	-2.14196
-0.37797	-3.72184
0.443381	-0.33677
0.685874	0.229383
0.710103	0.180002
0.110333	-0.56996
0.885725	1.233232
0.660023	0.322886
-0.26287	-2.88991
-0.33046	-3.93676
-0.17405	-1.77592
-0.43439	-4.86698
0.192791	-0.53287
-0.11284	-2.14307
0.612019	0.759342
0.609065	0.772817
0.417238	0.614815
0.798950	1.182798
-0.22169	-1.13870
-0.38772	-4.15991
0.803954	0.939124
-0.30198	-2.79631
0.690632	0.612941
0.776612	0.776943
0.017771	-1.54122
0.463316	0.432305
0.529995	-0.19487
0.148448	-2.39433
0.853513	1.026143
-0.40723	-4.06014
-0.00081	-0.21821
-0.25195	-3.60977
0.496363	0.755077
0.059398	-1.88932
0.551942	0.234115
-0.28767	-1.32931
-0.01692	0.144941
0.850671	0.887764
0.723616	1.358531
-0.36668	-4.22587
0.384503	0.241959
0.218784	-0.98754
-0.26725	-3.29434
0.288815	-0.20346
0.283382	-0.11949
0.138332	-0.30154
0.098892	0.086074
0.624151	0.738714
-0.33671	-4.18746
-0.07700	-1.32189
-0.26417	-3.11769
-0.31562	-4.78451
-0.20867	-1.32428
-0.16887	-2.13328
-0.13052	-1.93702
0.165237	-0.46127
-0.45714	-8.09248
-0.05116	  -inf.0
-0.42114	-6.68429
-0.49107	-10.1973
-0.45986	-4.66005
-0.37536	-7.51595
-0.38572	-4.51213
-0.44217	-4.64931
-0.47689	-7.20811
-0.43633	-3.84502
-0.38606	-4.34782
-0.39056	-3.39564
-0.24222	-1.18570
-0.22541	-0.40132
-0.36743	-5.70905
-0.47072	-6.16614
-0.27893	-13.9813
-0.50980	-5.01888
-0.02735	-1.48847
-0.43742	-3.69686
-0.30227	-12.1842
-0.46297	-4.48066
-0.08306	-2.89860
0.173731	-1.22762
-0.51297	-5.17533
-0.22595	0.401752
0.073675	  -inf.0
-0.32367	-8.51757
-0.16706	-2.24004
-0.12651	  -inf.0
0.476193	0.591460
-0.53398	-3.05877
0.040131	-2.05112
-0.18659	-3.43216
0.529474	0.557544
-0.37852	-3.23327
0.369869	-5.83966
0.529869	2.471174
0.606361	-0.13439
-0.33620	-6.34324
0.489848	0.840184
0.292140	-2.08282
0.289808	-6.40419
0.701708	1.122791
0.803515	1.998497
1.000000	4.225952
0.822023	2.336512
0.741250	2.152706
0.767905	1.825464
0.778632	2.175301
0.060089	-2.64533
0.129107	-1.83401
-0.10877	-1.51789
0.417018	0.190833
0.847784	2.984007
-0.18457	-3.40669
0.591111	0.175556
0.622010	0.141535
0.736873	1.559520
0.074330	-2.67667
0.718393	1.661716
0.445119	2.076477
0.540544	0.530618
0.711385	1.490757
0.607460	1.286324
-0.16268	-3.87651
0.715498	0.129174
0.448180	-0.82600
-0.09193	-2.84789
-0.23104	-3.24286
-0.26293	-3.15083
-0.26200	-4.50685
-0.15817	-3.47041
0.150682	-2.90644
0.693132	1.131143
0.608761	2.074548
0.561459	1.666693
0.237750	-0.78850
0.713098	2.646671
0.054172	-1.46710
0.736141	2.987335
0.499094	0.299869
-0.38103	-5.42401
0.752757	1.112974
0.679685	0.230681
-0.19439	-3.19848
0.665849	-0.59665
0.160495	0.848657
-0.24673	-3.94354
-0.05384	-2.58616
0.588684	2.279731
-0.22760	-3.38724
0.796855	1.971723
0.607290	1.869065
0.607016	0.831276
0.717784	0.777127
0.595982	3.206916
0.774623	2.011365
0.301463	-0.00383
-0.34239	-4.44331
0.752204	1.373089
0.101681	-2.62920
0.093223	-2.62896
0.261774	-0.91676
0.793017	2.017186
0.712261	0.197718
0.749041	1.151896
-0.08853	-2.20613
0.524735	-0.23590
