#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
1.609037	1.956146	0.266381	0.141714
-1.14267	-1.24084	0.219466	0.139791
-0.19394	0.908734	0.206574	0.223920
0.953700	2.798933	0.136148	0.040678
2.536905	5.368034	0.503312	0.383428
9.448017	9.186429	0.110548	-0.09791
1.173694	4.111187	0.076749	0.180056
-9.46420	-6.62798	0.654984	0.059101
-4.81589	-2.60113	0.400521	-0.14348
10.11407	11.85298	1.000000	1.000000
-11.3793	-9.25574	0.260382	-0.18610
-11.8213	-10.1036	0.166760	-0.26224
-12.3834	-9.13505	0.283219	-0.39085
-11.1183	-9.30985	-0.25801	-0.60244
-10.3759	-7.64617	-0.43134	-0.76665
-10.4076	-8.48522	-0.36902	-0.66903
-10.9257	-9.92110	0.185993	-0.04009
-10.2623	-8.22088	-0.04672	-0.54948
-11.9536	-8.60988	0.159229	-0.55279
-11.3391	-10.0518	-0.10035	-0.39012
-12.1070	-9.38356	0.230279	-0.38916
-11.3881	-10.4447	-0.27750	-0.43887
-11.3730	-8.95238	-0.12871	-0.57461
-13.9411	-12.5137	0.517222	0.324542
-11.4177	-11.2520	0.349640	0.364832
-11.3681	-9.04845	-0.27587	-0.67061
-3.83376	-2.46804	0.160543	-0.20788
-9.29458	-7.66828	-0.39011	-0.64688
-11.8036	-9.65252	0.331125	-0.08702
-10.4534	-8.29278	-0.42941	-0.73657
-11.5207	-10.0738	0.476933	0.275666
-10.3839	-9.00543	-0.26887	-0.54658
-16.1067	-13.5965	0.004286	-0.46312
-10.8919	-9.69665	0.422859	0.209903
-11.2526	-8.97332	-0.36372	-0.71371
-9.36418	-6.62055	-0.21766	-0.69243
-11.9087	-10.7050	-0.28799	-0.52868
-10.6267	-8.26163	-0.41632	-0.74304
-10.3149	-8.03965	0.050359	-0.41555
-12.1005	-11.3010	0.364507	0.260551
-11.4450	-8.51977	0.188334	-0.46472
-11.6882	-9.09481	-0.27041	-0.68904
-9.24555	-6.12356	-0.34005	-0.75320
-13.9596	-10.5230	0.500874	-0.02491
-13.5554	-11.8209	0.468674	0.205600
-10.5906	-8.29475	-0.37855	-0.71295
-9.82431	-9.22563	0.020472	-0.09101
-4.86568	-3.33738	0.450070	0.177267
-10.4614	-8.21964	-0.35337	-0.69343
-11.2860	-10.3937	0.447522	0.316606
-12.4948	-11.2906	0.375188	0.177383
-10.6991	-8.17962	-0.39247	-0.74531
-10.1401	-8.24927	-0.36646	-0.67268
-11.5145	-9.67649	0.441782	0.119843
-13.0700	-11.4172	-0.15673	-0.48396
-12.0295	-9.45319	0.425206	-0.20202
-8.45096	-6.93956	-0.14505	-0.49228
-11.7688	-10.3426	0.242658	-0.05642
-8.90915	-7.44350	0.123234	-0.22553
-11.4071	-9.70301	0.029746	-0.38509
-10.4448	-8.08683	-0.26694	-0.67431
-9.66697	-7.37106	-0.29978	-0.66996
-10.7123	-9.60686	-0.20258	-0.44252
-7.96513	-6.06483	0.080018	-0.39166
-3.03352	-2.79621	0.617069	0.582652
-12.8199	-10.0757	0.490303	-0.00024
-14.0364	-12.2689	0.614357	0.516206
  -inf.0	  -inf.0	0.621308	0.364034
-9.11221	-5.23363	0.507918	-0.13160
  -inf.0	  -inf.0	0.419101	0.142755
-5.73654	-4.10779	-0.03542	-0.40498
-3.86032	-0.24143	-0.09187	-0.74214
-3.41932	-2.89316	0.368390	0.325461
-1.14281	0.718117	0.895379	0.872606
-4.36096	-3.93874	0.481962	0.424501
-4.15726	-2.77442	0.312471	-0.14734
-6.74215	-3.01690	0.110099	-0.45401
-2.29773	-0.56461	0.499735	0.410614
6.550664	6.083357	1.000000	1.000000
1.157757	2.178211	0.696333	0.557044
-2.82600	-2.46398	-0.31360	-0.30416
0.723655	1.338249	0.583283	0.424428
1.871366	3.491916	0.669321	0.429890
0.182168	0.195924	0.271946	0.198446
-0.61726	0.088069	-0.19450	-0.25809
-1.44768	-0.62838	0.105848	-0.03369
3.106264	4.044556	0.541114	0.277076
4.052652	3.731533	0.525948	0.475453
1.471831	2.989747	-0.09234	-0.19650
1.179544	3.420126	0.583035	0.197347
-1.28587	-1.46829	0.297205	0.239296
2.304869	2.138453	0.757476	0.717466
0.690667	0.874913	0.520770	0.391163
